𢆎 (U+2218E)	wrong!	㚔 (U+3694)
𡝲 (U+21772)	wrong!	㛴 (U+36F4)
𡡟 (U+2185F)	wrong!	㛴 (U+36F4)
𡯣 (U+21BE3)	wrong!	㞁 (U+3781)
㨲 (U+3A32)	wrong!	㩍 (U+3A4D)
𣗟 (U+235DF)	wrong!	㮈 (U+3B88)
𢻄 (U+22EC4)	wrong!	㱠 (U+3C60)
𣫘 (U+23AD8)	wrong!	㲉 (U+3C89)
𤠏 (U+2480F)	wrong!	㺁 (U+3E81)
𤤨 (U+24928)	wrong!	㻁 (U+3EC1)
𣃅 (U+230C5)	wrong!	㼱 (U+3F31)
𥏢 (U+253E2)	wrong!	䂔 (U+4094)
𥑙 (U+25459)	wrong!	䂬 (U+40AC)
𥑱 (U+25471)	wrong!	䂬 (U+40AC)
𥭱 (U+25B71)	wrong!	䇫 (U+41EB)
𬖁 (U+2C581)	wrong!	䉫 (U+426B)
𥾒 (U+25F92)	wrong!	䊷 (U+42B7)
𦇪 (U+261EA)	wrong!	䌩 (U+4329)
𧅋 (U+2714B)	wrong!	䕦 (U+4566)
𦠧 (U+26827)	wrong!	䚧 (U+46A7)
𧦛 (U+2799B)	wrong!	䚮 (U+46AE)
𧦪 (U+279AA)	wrong!	䛒 (U+46D2)
𧦬 (U+279AC)	wrong!	䛒 (U+46D2)
𨫦 (U+28AE6)	wrong!	䥍 (U+494D)
𨰅 (U+28C05)	wrong!	䥝 (U+495D)
𨫶 (U+28AF6)	wrong!	䥧 (U+4967)
𩐆 (U+29406)	wrong!	䪠 (U+4AA0)
𩐇 (U+29407)	wrong!	䪠 (U+4AA0)
𩐈 (U+29408)	wrong!	䪠 (U+4AA0)
𩐋 (U+2940B)	wrong!	䪠 (U+4AA0)
𩺚 (U+29E9A)	wrong!	䱞 (U+4C5E)
𡏜 (U+213DC)	wrong!	䴰 (U+4D30)
𪏖 (U+2A3D6)	wrong!	䵎 (U+4D4E)
𪏧 (U+2A3E7)	wrong!	䵏 (U+4D4F)
𦫱 (U+26AF1)	wrong!	䶌 (U+4D8C)
𦫉 (U+26AC9)	wrong!	䶲 (U+4DB2)
釠 (U+91E0)	wrong!	亂 (U+4E82)
𠃸 (U+200F8)	wrong!	亄 (U+4E84)
𢓩 (U+224E9)	wrong!	任 (U+4EFB)
𠇶 (U+201F6)	wrong!	佪 (U+4F6A)
𠏈 (U+203C8)	wrong!	傜 (U+509C)
𠇢 (U+201E2)	wrong!	傷 (U+50B7)
𠘭 (U+2062D)	wrong!	允 (U+5141)
𠐂 (U+20402)	wrong!	党 (U+515A)
𣥬 (U+2396C)	wrong!	党 (U+515A)
𤔞 (U+2451E)	wrong!	党 (U+515A)
𧳤 (U+27CE4)	wrong!	党 (U+515A)
𠒟 (U+2049F)	wrong!	兜 (U+515C)
𤼫 (U+24F2B)	wrong!	凳 (U+51F3)
剙 (U+5259)	wrong!	刱 (U+5231)
